ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
4094;300.941/2016;375;0.15267043236333017;1;8
4095;866.111/2018;2664;0.152650722877085;0;8
4096;871.338/2015;2041;0.15250325300119885;1;8
4097;810.806/2021;847;0.15215990525978138;0;8
4098;810.802/2021;3636;0.15215990525978138;0;8
4099;810.631/2014;2984;0.15208140684527408;0;8
4100;827.012/2014;4065;0.15205145739954334;1;8
4101;800.444/2017;540;0.1518901453241009;1;8
4102;810.740/2018;3634;0.15173878668906368;1;8
4103;880.153/2014;2132;0.15171240086121904;0;8
4104;300.091/2020;3598;0.151390719397927;0;8
4105;810.101/1993;785;0.151191961768743;0;8
4106;810.216/1994;2299;0.151191961768743;0;8
4107;896.018/2018;2223;0.15106288852582775;0;8
4108;846.196/2009;2560;0.15100149100593982;0;8
4109;840.014/2019;3353;0.1509383405429529;0;8
4110;300.608/2019;268;0.15052187877797268;0;8
4111;800.034/2012;482;0.15034537181169902;1;8
4112;800.452/2015;542;0.15018803385530705;1;8
4113;848.128/2016;1430;0.1499470620417055;1;8
4114;806.249/2011;766;0.14968028712522766;1;8
4115;860.698/2010;4545;0.149195796709708;0;8
4116;300.803/2017;333;0.1491514898126531;1;8
4117;803.057/2018;629;0.1488852889332534;0;8
4118;810.674/2016;3808;0.14845499360146486;0;8
4119;810.675/2016;3809;0.14845499360146486;0;8
4120;826.226/2018;4380;0.14843219910748692;1;8
4121;815.234/2002;4612;0.14830619852572463;0;8
4122;846.154/2009;3267;0.14819253387847828;1;8
4123;810.629/2018;2983;0.14817153272779643;0;8
4124;300.612/2018;3870;0.14806656852823166;0;8
4125;810.968/2013;4448;0.14794606575320463;1;8
4126;896.018/2011;2222;0.1478619925903022;0;8
4127;826.203/2011;1082;0.14762268535125303;1;8
4128;800.761/2012;591;0.1472077634129415;0;8
4129;300.851/2018;350;0.1471674781775201;1;8
4130;300.187/2019;4294;0.1471674781775201;1;8
4131;832.082/2016;1258;0.14697157435975564;1;8
4132;300.599/2018;266;0.1469117953953099;1;8
4133;300.113/2019;2465;0.1469117953953099;1;8
4134;806.234/2012;763;0.14669001777017568;1;8
4135;810.487/2017;819;0.14579685515877996;0;8
4136;884.147/2014;3765;0.14576680373271858;0;8
4137;300.898/2014;3896;0.14576680373271858;0;8
4138;810.413/2017;812;0.1457592313494074;0;8
4139;810.502/2017;821;0.1457592313494074;1;8
4140;810.679/2017;840;0.1457592313494074;1;8
4141;878.001/2015;2093;0.14557921543125393;1;8
4142;800.716/2014;589;0.14453177877478326;1;8
4143;800.551/2014;2359;0.14453177877478326;1;8
4144;800.052/2017;485;0.14421588958456413;0;8
4145;800.605/2017;570;0.14421588958456413;1;8
4146;810.395/2018;811;0.14407597714409762;1;8
4147;810.578/2018;830;0.14407597714409762;0;8
4148;300.285/2018;3847;0.14407597714409762;0;8
4149;810.696/2018;4379;0.14407597714409762;1;8
4150;840.036/2017;3662;0.1436519072500212;0;8
4151;840.039/2017;3663;0.1436519072500212;0;8
4152;848.103/2013;2455;0.1434196512031592;1;8
